epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5329,1.00965,2.32118,1.42171,0.70288,0.77852,0.79327,0.58385,0.85305,2.30041,1.41852,0.000541775,0.000541775,0.000541775
2,24.0983,1.19584,1.52387,1.47623,0.46755,0.65625,0.55126,0.27513,1.67651,4.29434,3.06226,0.00108386,0.00108386,0.00108386
3,34.3059,1.26852,1.38296,1.47896,0.43654,0.53138,0.38857,0.17042,1.78866,2.67913,2.32625,0.00161219,0.00161219,0.00161219
4,44.5913,1.20516,1.26463,1.43962,0.60722,0.0625,0.02727,0.00612,4.14202,6.25662,6.57106,0.00160511,0.00160511,0.00160511
5,55.0261,1.20373,1.19671,1.42064,0.65973,0.69199,0.71768,0.48616,1.10596,2.46542,1.61882,0.00158448,0.00158448,0.00158448
6,65.5906,1.12448,1.14168,1.39829,0.74916,0.87922,0.88768,0.67396,0.9196,1.18068,1.42481,0.00156385,0.00156385,0.00156385
7,76.1081,1.11066,1.04846,1.38479,0.75478,0.7625,0.83116,0.5424,1.13834,1.40119,1.60722,0.00154323,0.00154323,0.00154323
8,86.5029,1.08131,1.0548,1.36541,0.89911,0.87228,0.93117,0.70256,0.87612,0.83692,1.37567,0.0015226,0.0015226,0.0015226
9,96.9784,1.0543,1.02817,1.33319,0.7762,0.75338,0.80542,0.5895,1.03901,1.69911,1.58439,0.00150197,0.00150197,0.00150197
10,107.394,1.02187,0.9925,1.33155,0.89031,0.79375,0.90509,0.7081,0.75485,0.85083,1.28895,0.00148134,0.00148134,0.00148134
11,117.984,0.96669,0.92617,1.28012,0.87471,0.90125,0.94055,0.75936,0.73726,0.69626,1.24768,0.00146071,0.00146071,0.00146071
12,128.382,0.9426,0.90889,1.28008,0.92025,0.93139,0.96051,0.79005,0.69677,0.59598,1.18873,0.00144008,0.00144008,0.00144008
13,138.966,0.9439,0.85742,1.28342,0.96263,0.94553,0.97106,0.84012,0.62465,0.55073,1.14135,0.00141945,0.00141945,0.00141945
14,149.329,0.89002,0.88135,1.2525,0.93632,0.92717,0.96865,0.83982,0.56816,0.64935,1.10571,0.00139882,0.00139882,0.00139882
15,159.692,0.89113,0.86416,1.23714,0.95788,0.9125,0.96306,0.79762,0.71643,0.60712,1.20121,0.00137819,0.00137819,0.00137819
16,170.141,0.88296,0.8314,1.24559,0.95313,0.97817,0.97816,0.88081,0.52861,0.46612,1.06132,0.00135756,0.00135756,0.00135756
17,180.463,0.85376,0.80309,1.23611,0.90655,0.91875,0.96402,0.81932,0.61216,0.59328,1.12602,0.00133693,0.00133693,0.00133693
18,190.746,0.86576,0.82421,1.24207,0.94324,0.93253,0.97005,0.81431,0.62473,0.58675,1.14101,0.0013163,0.0013163,0.0013163
