epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1223,1.00965,2.32118,1.42171,0.70288,0.77852,0.79327,0.58385,0.85305,2.30041,1.41852,0.000541775,0.000541775,0.000541775
2,23.3878,1.21521,1.52824,1.48145,0.33935,0.29375,0.22036,0.08049,2.38311,11.2679,3.28611,0.00108658,0.00108658,0.00108658
3,33.6589,1.23109,1.40797,1.47197,0.19378,0.5,0.13292,0.05073,2.44572,23.7098,4.07437,0.00162038,0.00162038,0.00162038
4,44.0247,1.25115,1.24563,1.46031,0.07512,0.55625,0.11954,0.07654,1.67652,6.44915,2.29326,0.00161749,0.00161749,0.00161749
5,54.4125,1.21984,1.20341,1.43593,0.42302,0.325,0.3207,0.18513,1.90152,4.34159,2.36437,0.00160099,0.00160099,0.00160099
6,64.8135,1.1919,1.17511,1.44359,0.16964,0.3125,0.17669,0.09974,2.16912,5.35445,2.65914,0.00158448,0.00158448,0.00158448
7,75.2454,1.16231,1.1409,1.41432,0.77001,0.80902,0.86262,0.60566,1.10588,1.07009,1.59588,0.00156798,0.00156798,0.00156798
8,85.8113,1.10505,1.06802,1.37487,0.86444,0.82138,0.92607,0.69246,0.89398,1.10709,1.40363,0.00155148,0.00155148,0.00155148
9,96.2727,1.0472,1.05443,1.34187,0.83552,0.87418,0.93237,0.69899,0.83529,1.01866,1.33331,0.00153497,0.00153497,0.00153497
10,106.686,1.03004,1.03869,1.32216,0.89896,0.85162,0.93511,0.72937,0.82494,0.87714,1.31595,0.00151847,0.00151847,0.00151847
11,117.12,0.97418,0.95316,1.29444,0.96768,0.93677,0.97283,0.80474,0.70125,0.62444,1.2134,0.00150197,0.00150197,0.00150197
12,127.554,0.97053,0.94322,1.30041,0.95007,0.90428,0.96067,0.81071,0.65453,0.68801,1.18206,0.00148546,0.00148546,0.00148546
13,138.037,0.97479,0.91854,1.30554,0.91151,0.9,0.95688,0.77867,0.7573,0.629,1.22667,0.00146896,0.00146896,0.00146896
14,148.552,0.93725,0.87557,1.267,0.94966,0.975,0.97762,0.82698,0.62705,0.50346,1.15156,0.00145246,0.00145246,0.00145246
15,159.164,0.91914,0.86872,1.263,0.91483,0.87809,0.95691,0.82612,0.59541,0.5951,1.10152,0.00143595,0.00143595,0.00143595
16,169.689,0.90746,0.84348,1.25747,0.949,0.975,0.9782,0.85762,0.58327,0.48219,1.10662,0.00141945,0.00141945,0.00141945
17,180.409,0.86678,0.80485,1.24245,0.96107,0.97227,0.97699,0.86175,0.55767,0.47692,1.10754,0.00140295,0.00140295,0.00140295
18,191.172,0.84575,0.78371,1.22782,0.94381,0.9625,0.97496,0.86442,0.56469,0.51208,1.10594,0.00138644,0.00138644,0.00138644
19,202.004,0.85574,0.79265,1.22421,0.96041,0.976,0.97893,0.85287,0.60195,0.52013,1.105,0.00136994,0.00136994,0.00136994
20,212.696,0.82993,0.7797,1.21289,0.97809,0.97058,0.98285,0.86986,0.51579,0.45543,1.05199,0.00135344,0.00135344,0.00135344
21,223.328,0.82706,0.77439,1.21546,0.94697,0.9625,0.973,0.83329,0.5978,0.52008,1.09106,0.00133693,0.00133693,0.00133693
22,233.906,0.84714,0.77269,1.21702,0.98672,0.92987,0.97344,0.85585,0.55821,0.46963,1.07016,0.00132043,0.00132043,0.00132043
23,244.454,0.81601,0.7324,1.20655,0.96154,0.96789,0.98194,0.88132,0.52124,0.45291,1.06862,0.00130393,0.00130393,0.00130393
24,255.056,0.8239,0.7472,1.21429,0.95764,0.96491,0.98013,0.89824,0.48971,0.4433,1.03509,0.00128742,0.00128742,0.00128742
25,265.702,0.80821,0.74507,1.2084,0.98464,0.96646,0.97848,0.89735,0.44712,0.4014,0.99244,0.00127092,0.00127092,0.00127092
26,276.402,0.79501,0.72753,1.18567,0.98018,0.97989,0.98034,0.87975,0.48319,0.40843,1.03264,0.00125442,0.00125442,0.00125442
27,287.101,0.78267,0.73494,1.19905,0.98983,0.9625,0.98173,0.89948,0.44209,0.43078,0.99096,0.00123791,0.00123791,0.00123791
