epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.314,0.69781,2.44925,1.21256,0.84922,0.77236,0.91744,0.71583,0.76066,0.97762,1.24878,0.000541775,0.000541775,0.000541775
2,39.5112,0.78234,1.02188,1.25569,0.69444,0.58591,0.68592,0.4594,1.17726,3.29567,1.81787,0.000988795,0.000988795,0.000988795
3,50.1907,0.93293,0.95629,1.35461,0.44389,0.56875,0.47366,0.17449,2.10087,5.01753,3.25592,0.00132579,0.00132579,0.00132579
4,60.5292,0.80825,0.80308,1.26786,0.68577,0.75625,0.73113,0.43501,1.33177,1.86075,1.80329,0.0011719,0.0011719,0.0011719
5,70.8571,0.75946,0.71677,1.22167,0.87382,0.95362,0.92815,0.72536,0.74478,0.72229,1.20285,0.00100687,0.00100687,0.00100687
6,81.5992,0.69719,0.60311,1.18874,0.88837,0.8625,0.93389,0.79702,0.61068,0.67573,1.08383,0.000841835,0.000841835,0.000841835
7,92.2144,0.64402,0.55434,1.14505,0.95857,0.9625,0.96895,0.871,0.51054,0.47003,1.00158,0.000676802,0.000676802,0.000676802
8,102.867,0.53277,0.49009,1.05248,0.98482,0.96875,0.9803,0.90223,0.44234,0.39884,0.95058,0.000511769,0.000511769,0.000511769
9,113.622,0.49546,0.44576,1.03434,0.98331,0.975,0.97982,0.91721,0.40382,0.35326,0.92649,0.000346736,0.000346736,0.000346736
10,124.374,0.43604,0.39981,0.99557,0.98127,0.97334,0.97587,0.94305,0.31835,0.33104,0.89004,0.000181703,0.000181703,0.000181703
