epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5245,1.63535,2.66439,1.97951,0.46837,0.675,0.5648,0.23494,1.97461,5.16868,2.38858,0.000541775,0.000541775,0.000541775
2,32.3296,1.64459,1.78992,1.90227,0.15651,0.59375,0.15588,0.04802,2.44955,11.9122,3.77783,0.00107571,0.00107571,0.00107571
3,44.9575,1.65759,1.69593,1.90135,0.55217,0.04375,0.00936,0.00204,3.96444,4.51811,6.41344,0.00158765,0.00158765,0.00158765
4,57.526,1.61741,1.5206,1.86222,0.20728,0.33125,0.20649,0.06141,2.60649,3.80746,2.95099,0.00156798,0.00156798,0.00156798
5,70.1583,1.60728,1.51753,1.86122,0.18343,0.4,0.12384,0.03177,2.77129,8.20842,3.13002,0.00153497,0.00153497,0.00153497
6,82.8114,1.57313,1.42775,1.82759,0.37629,0.375,0.29863,0.104,2.54149,4.27798,2.95998,0.00150197,0.00150197,0.00150197
7,95.5535,1.50443,1.37799,1.76623,0.62872,0.70625,0.65594,0.26521,2.03749,1.65463,2.34343,0.00146896,0.00146896,0.00146896
8,108.41,1.50055,1.34147,1.76819,0.59955,0.56271,0.59302,0.28137,1.90202,2.21587,2.2315,0.00143595,0.00143595,0.00143595
9,121.451,1.47303,1.31089,1.73876,0.8399,0.75668,0.82787,0.38437,1.73335,1.82429,1.96388,0.00140295,0.00140295,0.00140295
10,134.799,1.39645,1.23595,1.68686,0.83203,0.81202,0.83397,0.39202,1.90172,1.26967,1.99881,0.00136994,0.00136994,0.00136994
11,147.92,1.46951,1.23378,1.71314,0.5635,0.8196,0.52542,0.27289,1.65564,2.21912,1.78648,0.00133693,0.00133693,0.00133693
12,160.579,1.3944,1.19201,1.68321,0.8845,0.90337,0.9331,0.47486,1.64993,1.02665,1.79213,0.00130393,0.00130393,0.00130393
13,173.149,1.33959,1.17678,1.66082,0.68112,0.7063,0.64234,0.36246,1.90622,1.43748,2.17135,0.00127092,0.00127092,0.00127092
14,185.642,1.37033,1.1339,1.65086,0.5495,0.50667,0.48631,0.26197,2.23749,1.88663,2.80765,0.00123791,0.00123791,0.00123791
15,197.98,1.34111,1.1371,1.64642,0.92661,0.9375,0.93663,0.56088,1.4224,0.76927,1.59908,0.00120491,0.00120491,0.00120491
16,210.357,1.29932,1.09995,1.6115,0.91241,0.9332,0.94632,0.49146,1.7102,0.82193,1.78263,0.0011719,0.0011719,0.0011719
17,222.715,1.27645,1.03219,1.58482,0.9497,0.96584,0.98022,0.59439,1.40715,0.73116,1.52251,0.00113889,0.00113889,0.00113889
18,235.505,1.29009,1.07483,1.60117,0.88187,0.88699,0.93146,0.60055,1.28148,0.73471,1.47017,0.00110589,0.00110589,0.00110589
19,248.398,1.22987,1.00765,1.54989,0.97382,0.99086,0.98976,0.69564,1.044,0.66779,1.27954,0.00107288,0.00107288,0.00107288
20,261.744,1.24426,1.02078,1.54808,0.93402,0.96638,0.97307,0.64906,1.12059,0.76123,1.37897,0.00103987,0.00103987,0.00103987
21,275.577,1.23414,1.01645,1.53914,0.90158,0.9625,0.97685,0.68527,1.01782,0.68674,1.30979,0.00100687,0.00100687,0.00100687
22,290.796,1.17834,0.96049,1.50933,0.96751,0.9875,0.99028,0.69473,1.06543,0.64204,1.30883,0.000973861,0.000973861,0.000973861
23,305.944,1.17358,0.91621,1.50269,0.97043,0.99302,0.99032,0.68883,1.09382,0.60627,1.32369,0.000940855,0.000940855,0.000940855
24,320.604,1.16505,0.93727,1.49241,0.95517,0.9875,0.98385,0.68308,1.0773,0.57122,1.33166,0.000907848,0.000907848,0.000907848
25,334.114,1.14895,0.90549,1.48702,0.94989,0.96914,0.97784,0.65416,1.17754,0.5897,1.36166,0.000874842,0.000874842,0.000874842
26,346.752,1.11728,0.89009,1.46691,0.94993,0.99375,0.99298,0.73217,0.98775,0.59296,1.25583,0.000841835,0.000841835,0.000841835
27,359.844,1.15301,0.87547,1.49107,0.97912,0.98028,0.98573,0.72518,1.00637,0.54485,1.23949,0.000808828,0.000808828,0.000808828
28,372.663,1.10415,0.8712,1.45819,0.97777,0.99375,0.989,0.73988,0.92477,0.53652,1.1721,0.000775822,0.000775822,0.000775822
29,385.619,1.08812,0.86537,1.45138,0.98887,0.99375,0.99006,0.69253,1.06541,0.57078,1.27022,0.000742815,0.000742815,0.000742815
30,398.444,1.07897,0.82788,1.43661,0.97571,0.99194,0.99349,0.74799,0.89883,0.53335,1.1805,0.000709809,0.000709809,0.000709809
31,411.202,1.04493,0.81068,1.40844,0.96738,0.99428,0.99308,0.78704,0.8004,0.50065,1.12464,0.000676802,0.000676802,0.000676802
32,423.924,1.05216,0.80568,1.41128,0.99421,1,0.995,0.78411,0.8355,0.4669,1.11728,0.000643795,0.000643795,0.000643795
33,436.436,1.01926,0.78765,1.39508,0.98981,0.9976,0.99481,0.78558,0.80126,0.48258,1.13379,0.000610789,0.000610789,0.000610789
34,449.033,1.01609,0.79051,1.39717,0.9866,1,0.995,0.72217,1.02376,0.54507,1.2557,0.000577782,0.000577782,0.000577782
35,461.68,1.05254,0.81008,1.4135,0.99652,1,0.995,0.75792,0.86822,0.48971,1.15075,0.000544776,0.000544776,0.000544776
36,474.512,0.99295,0.78888,1.38726,0.98572,0.99142,0.99488,0.78955,0.83396,0.47779,1.13168,0.000511769,0.000511769,0.000511769
37,487.558,0.9429,0.75758,1.35092,0.98912,0.9875,0.9897,0.80724,0.74114,0.43542,1.0845,0.000478762,0.000478762,0.000478762
38,500.515,0.96976,0.73365,1.36371,0.99115,1,0.995,0.82107,0.69864,0.42523,1.04818,0.000445756,0.000445756,0.000445756
39,513.463,0.95352,0.71995,1.33305,0.97905,0.99375,0.98812,0.81453,0.70549,0.42949,1.04897,0.000412749,0.000412749,0.000412749
40,526.075,0.97583,0.73798,1.36644,0.98611,0.99375,0.98844,0.77796,0.82478,0.43476,1.10026,0.000379743,0.000379743,0.000379743
41,568.238,0.79299,0.4834,1.26461,0.97246,1,0.99457,0.84372,0.63657,0.42408,1.01912,0.000346736,0.000346736,0.000346736
42,580.909,0.74883,0.43603,1.2344,0.99238,1,0.995,0.81929,0.72013,0.41823,1.04042,0.000313729,0.000313729,0.000313729
43,593.484,0.70739,0.41565,1.21337,0.97012,0.99375,0.9879,0.85138,0.59502,0.40109,0.99993,0.000280723,0.000280723,0.000280723
44,606.345,0.70802,0.42483,1.21413,0.98093,1,0.99481,0.84671,0.59887,0.40918,0.99136,0.000247716,0.000247716,0.000247716
45,618.9,0.65656,0.39705,1.16109,0.99056,1,0.99364,0.86443,0.55399,0.3716,0.9503,0.00021471,0.00021471,0.00021471
46,631.813,0.64735,0.39635,1.15382,0.98018,1,0.99321,0.87039,0.53257,0.38673,0.94537,0.000181703,0.000181703,0.000181703
47,644.766,0.61019,0.38225,1.12764,0.98319,1,0.99333,0.87971,0.51618,0.37572,0.93733,0.000148696,0.000148696,0.000148696
48,657.598,0.57432,0.36449,1.10397,0.98531,1,0.99389,0.88454,0.5071,0.37275,0.93343,0.00011569,0.00011569,0.00011569
49,670.302,0.57984,0.36576,1.10014,0.98033,1,0.99358,0.87897,0.51475,0.37791,0.94218,8.26832e-05,8.26832e-05,8.26832e-05
50,682.724,0.56136,0.35713,1.10068,0.98485,1,0.99346,0.88286,0.50867,0.35984,0.92719,4.96766e-05,4.96766e-05,4.96766e-05
