epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8605,1.17209,2.26968,1.52223,0.71375,0.61926,0.72023,0.5317,1.00686,1.92468,1.60782,0.000541775,0.000541775,0.000541775
2,32.0113,1.34143,1.58169,1.57251,0.45859,0.35395,0.26753,0.11873,2.23333,12.5793,3.19905,0.00108386,0.00108386,0.00108386
3,46.6343,1.44981,1.61549,1.61357,0.12715,0.12519,0.08306,0.03419,3.34116,4.855,4.48579,0.00161219,0.00161219,0.00161219
4,61.3684,1.48027,1.61711,1.65057,0.54756,0.40593,0.33785,0.16428,2.13753,6.93274,3.12196,0.00160511,0.00160511,0.00160511
5,76.0361,1.40407,1.46475,1.57241,0.44799,0.48628,0.40943,0.19817,2.19944,2.50211,2.85467,0.00158448,0.00158448,0.00158448
6,90.9164,1.43768,1.51726,1.63116,0.37097,0.58888,0.27452,0.16881,1.74088,18.4645,2.10393,0.00156385,0.00156385,0.00156385
7,105.664,1.32156,1.35412,1.53727,0.80823,0.69638,0.75731,0.48537,1.34939,1.31884,1.76436,0.00154323,0.00154323,0.00154323
8,120.346,1.24044,1.2929,1.48765,0.75368,0.77937,0.79466,0.54276,1.16953,1.76102,1.68233,0.0015226,0.0015226,0.0015226
9,135.148,1.3026,1.34993,1.53567,0.72035,0.76838,0.78148,0.53887,1.1624,1.35724,1.63609,0.00150197,0.00150197,0.00150197
10,149.945,1.21355,1.26636,1.46816,0.83618,0.77896,0.84083,0.63124,1.00046,0.98453,1.49279,0.00148134,0.00148134,0.00148134
11,164.978,1.17362,1.24202,1.45474,0.80619,0.62629,0.71311,0.49307,1.24371,1.35277,1.75353,0.00146071,0.00146071,0.00146071
12,181.524,1.18067,1.2228,1.47721,0.87163,0.86305,0.86906,0.65795,0.95572,1.02434,1.4539,0.00144008,0.00144008,0.00144008
13,199.152,1.15815,1.21603,1.44508,0.87459,0.84466,0.85268,0.66149,0.92175,0.76705,1.43603,0.00141945,0.00141945,0.00141945
